from_stop_id,to_stop_id,transfer_type,min_transfer_time
12026,10467,2,360
12026,10513,2,360
12026,11119,2,480
12036,10399,2,180
12036,11302,2,420
12036,11526,0,
12036,12036,2,120
12036,4495,2,300
12036,4882,2,480
12036,77,0,
12036,8035,2,600
12036,8041,2,420
12043,7644,2,420
12054,10819,0,
12054,10823,0,
1206,785,2,300
1206,850,2,360
12063,12065,2,360
12063,12066,2,360
12064,12066,2,360
12065,12063,2,360
12065,12064,2,360
12066,12064,2,360
121,1510,2,420
12122,4340,0,
12134,797,0,
12134,838,2,300
12139,12139,0,
12155,12155,0,
12155,12695,2,420
12155,5042,0,
12155,5048,2,360
12155,6468,0,
12155,8059,0,
12168,12168,0,
12168,301,2,300
12168,646,0,
12168,744,2,300
12172,12495,2,360
12172,2095,2,300
12173,5352,2,300
12173,7095,2,300
12173,7166,2,300
12173,7214,2,300
12173,7259,0,
1218,2000,0,
1218,2035,0,
12204,7296,2,300
12205,12205,0,
12205,6730,2,300
12205,6734,2,360
12206,12207,2,360
12207,12206,2,300
12207,12207,0,
12207,12220,2,360
12207,6730,2,600
12209,12210,0,
12209,12211,0,
12209,12212,0,
12209,12228,0,
12209,12229,0,
12209,3155,0,
12209,3242,2,300
12213,12213,0,
12214,12214,0,
12217,12217,0,
12227,8657,0,
12227,8672,0,
12227,8676,0,
12227,8685,0,
12227,8687,0,
12227,8688,0,
12227,8689,0,
12227,8690,0,
12227,8691,0,
12227,8755,2,300
12228,12210,0,
12228,12211,0,
12228,12212,0,
12228,3155,0,
12228,3242,2,300
12229,12210,0,
12229,12211,0,
12229,12212,0,
12229,3155,0,
12230,11940,0,
12230,11941,0,
12230,11942,0,
12230,11943,0,
12230,12320,0,
12231,11940,0,
12231,11941,0,
12231,11942,0,
12231,11943,0,
12231,12020,0,
12231,12022,0,
12231,12319,0,
12231,12320,0,
12231,12332,0,
12232,12240,0,
12232,12241,0,
12232,12242,2,300
12233,12240,2,300
12233,12242,2,300
12234,11229,0,
12234,12321,0,
12234,12322,0,
12234,12647,0,
12234,3067,0,
12234,3195,0,
12234,3204,0,
12234,3334,0,
12234,3394,0,
12234,3533,0,
12234,3769,0,
12234,3904,0,
12234,3927,0,
12234,7643,0,
12235,11229,0,
12235,12321,0,
12235,12647,0,
12235,3053,0,
12235,3067,0,
12235,3195,0,
12235,3204,0,
12235,3334,0,
12235,3394,0,
12235,3533,0,
12235,3769,0,
12235,3904,0,
12235,3906,0,
12235,3927,0,
12235,7643,0,
12239,12208,0,
12240,12233,2,300
12241,12232,0,
12241,12233,0,
12241,12240,2,360
12242,12233,2,360
12242,12242,0,
12264,3984,0,
12264,9178,0,
12267,3315,2,300
12267,3331,0,
12272,3315,2,300
12272,3331,0,
12277,3314,2,300
12277,3333,0,
12291,3633,2,300
12291,3656,2,300
12293,7167,2,300
123,123,0,
123,1276,2,360
1231,11588,0,
1231,11589,0,
1231,11606,0,
1231,8044,2,300
1231,8073,2,300
1231,8754,2,300
1231,8763,2,300
12318,12857,2,300
12318,1482,0,
12318,1709,0,
12318,2742,2,300
12318,8139,0,
12318,963,0,
12329,10471,2,360
12330,415,2,300
12331,12823,2,420
12331,4494,2,420
12345,3376,0,
12348,1013,2,300
12348,11429,0,
12349,10827,2,300
12349,4065,2,360
12375,12375,0,
12375,8535,2,300
12381,12381,0,
12382,12382,0,
12386,11739,2,300
12395,6095,2,300
12406,1173,2,300
12406,12405,0,
12406,12409,0,
12406,12410,2,300
12406,12411,2,360
12406,2414,2,300
12406,2523,2,300
12406,2671,2,300
12406,2761,2,300
12406,2833,2,300
12406,8049,0,
12406,8068,0,
12409,1173,2,300
12409,12405,0,
12409,12409,0,
12409,12410,0,
12409,12411,0,
12409,2016,2,300
12409,2414,2,300
12409,2523,2,300
12409,2671,0,
12409,2761,2,300
12409,2833,0,
12409,8049,0,
12409,8068,0,
1242,437,2,600
1242,951,0,
12427,12427,0,
12427,12441,0,
12437,7106,2,360
12437,7108,2,300
12437,7140,0,
1244,2739,2,300
12478,10148,2,300
12478,9547,2,300
12492,6186,2,300
12497,12497,0,
12497,5382,2,300
12498,12498,0,
12498,7658,0,
12498,7727,0,
12498,7743,0,
12498,7827,0,
12498,8024,2,120
12498,8029,2,120
12499,12499,0,
12516,11331,2,360
12516,11332,2,300
12535,1016,2,120
12535,11272,2,360
12535,11706,2,360
12535,12535,0,
12535,4494,2,300
12535,4495,2,300
12535,4883,2,420
12535,8041,2,480
12535,9129,0,
12535,985,0,
1254,1079,0,
1254,1130,0,
1254,12667,2,300
1254,709,0,
12543,12543,0,
12543,6195,2,360
12546,6734,2,300
12548,11088,2,300
12548,11278,2,360
12548,12763,2,360
12548,12764,2,300
12556,695,2,300
12556,8045,2,300
12556,8072,2,300
12567,11874,2,300
12567,11875,2,360
12567,12836,2,360
12567,8750,2,300
12567,8759,2,300
1258,2000,0,
1258,2035,0,
12580,7768,0,
12580,7777,0,
12580,8025,2,120
12580,8028,2,120
12585,11103,0,
12585,11282,2,360
12585,11283,2,360
12585,11350,2,300
12596,12581,2,360
12600,11792,2,420
